aX,aY,aZ,gX,gY,gZ
0.984,-0.144,0.213,3.906,-1.892,-4.700
0.988,-0.157,0.209,3.052,-2.625,-4.272
0.993,-0.185,0.211,1.099,-4.211,-3.845
0.990,-0.201,0.224,0.488,-6.104,-3.540
0.989,-0.221,0.254,1.221,-7.751,-2.808
0.984,-0.238,0.281,0.671,-7.629,-1.465
0.977,-0.240,0.285,-0.610,-5.371,1.160
0.625,2.511,-0.929,-33.386,-150.574,133.972
1.037,3.435,-0.907,-90.088,-176.575,169.739
1.363,4.000,-0.649,-154.846,-202.209,156.006
1.805,4.000,-0.062,-200.195,-237.061,82.703
2.327,4.000,1.044,-202.942,-274.292,-36.316
2.702,3.228,2.515,-180.298,-290.649,-174.133
2.970,1.962,3.820,-153.748,-258.240,-295.837
3.070,0.681,4.000,-145.081,-174.377,-365.540
2.954,-0.272,4.000,-155.334,-62.317,-372.620
2.812,-0.802,4.000,-174.194,48.523,-331.299
2.629,-1.236,4.000,-196.655,133.240,-280.579
2.229,-1.664,3.798,-226.440,186.584,-258.850
1.691,-2.230,3.449,-233.215,220.459,-275.085
1.155,-3.216,3.033,-190.430,252.197,-325.562
0.678,-4.000,2.445,-104.004,279.297,-389.832
0.177,-4.000,2.042,32.227,282.471,-409.729
-0.124,-4.000,1.529,144.226,269.043,-376.526
-0.330,-4.000,1.111,197.388,258.179,-287.354
-0.443,-4.000,0.983,200.439,240.601,-167.847
-0.409,-4.000,1.080,176.086,213.928,-57.617
-0.474,-3.815,1.438,151.062,181.946,8.667
-0.545,-3.227,1.780,148.987,152.405,37.781
-0.562,-2.676,1.965,177.673,143.066,51.575
-0.687,-2.289,2.061,234.497,146.667,45.715
-0.954,-1.943,2.089,304.199,144.104,33.813
-1.225,-1.532,1.980,379.089,136.047,30.762
-1.457,-1.165,1.828,437.256,123.291,37.292
-1.637,-0.722,1.795,465.149,95.581,55.786
-1.796,-0.130,1.886,463.440,53.833,89.722
-1.885,0.507,1.976,432.678,10.498,131.836
-1.924,1.132,2.022,379.211,-21.118,170.593
-1.949,1.700,1.817,315.002,-32.043,199.646
-1.871,2.169,1.412,253.906,-24.292,212.402
-1.730,2.349,1.031,211.731,-14.709,196.960
-1.549,2.370,0.763,190.125,-10.193,156.067
-1.407,2.346,0.468,199.036,-11.230,99.731
-1.340,2.208,0.139,236.023,-22.766,40.039
-1.261,2.026,-0.183,265.869,-41.199,-3.357
-1.164,1.895,-0.524,262.451,-59.021,-25.635
-1.021,1.774,-0.808,228.760,-76.355,-32.471
-0.876,1.646,-1.016,181.946,-97.961,-31.616
-0.753,1.546,-1.130,136.230,-127.258,-31.555
-0.576,1.459,-1.053,98.145,-164.062,-35.278
-0.394,1.276,-0.833,63.171,-203.735,-39.001
-0.203,1.055,-0.498,30.762,-237.183,-40.222
0.054,0.855,-0.144,8.240,-258.179,-38.391
0.338,0.716,0.189,-0.366,-267.273,-32.227
0.599,0.637,0.445,0.610,-263.367,-26.306
0.839,0.597,0.538,2.014,-247.925,-23.437
1.040,0.608,0.592,-0.366,-225.037,-24.292
1.181,0.576,0.643,-10.742,-198.853,-25.024
1.298,0.573,0.583,-31.738,-171.204,-14.587
1.517,0.685,0.550,-57.434,-151.001,5.798
1.906,0.788,0.561,-83.252,-139.893,25.818
