aX,aY,aZ,gX,gY,gZ
0.810,0.240,0.202,27.039,20.325,-16.113
0.679,0.265,0.239,18.494,4.761,-3.601
0.669,0.269,0.207,7.141,-26.550,11.108
0.752,0.346,0.246,-4.028,-16.296,27.466
0.788,0.420,0.279,-11.414,-6.042,33.569
0.788,0.455,0.308,-17.151,-6.104,29.358
0.830,0.444,0.321,-17.944,-5.554,17.639
2.334,0.571,0.419,71.777,18.311,98.022
2.436,0.824,0.438,77.576,30.579,89.661
2.456,1.064,0.431,83.130,47.729,81.726
2.428,1.258,0.428,84.351,66.040,77.148
2.330,1.417,0.415,78.979,85.632,76.660
2.221,1.576,0.391,64.697,107.483,80.383
2.125,1.713,0.380,43.701,124.634,84.106
2.022,1.818,0.363,23.865,136.047,82.764
1.892,1.862,0.346,8.301,143.738,75.867
1.742,1.836,0.341,-5.432,146.362,65.308
1.604,1.767,0.368,-16.846,145.691,52.795
1.489,1.700,0.429,-24.658,145.142,41.748
1.397,1.639,0.488,-27.954,145.508,31.921
1.302,1.605,0.613,-28.259,145.142,24.963
1.184,1.555,0.707,-31.982,150.513,21.362
1.062,1.483,0.729,-40.649,160.156,19.104
0.922,1.375,0.675,-48.767,166.321,17.822
0.757,1.285,0.575,-54.504,170.654,18.005
0.592,1.241,0.456,-61.035,171.753,17.456
0.505,1.178,0.367,-70.801,164.795,12.817
0.428,1.069,0.326,-80.383,151.001,5.554
0.340,0.961,0.281,-84.900,135.681,-0.732
0.278,0.875,0.275,-85.022,120.056,-5.066
0.242,0.810,0.330,-84.900,104.797,-7.568
0.211,0.763,0.423,-87.036,93.323,-6.653
0.184,0.724,0.496,-89.600,85.571,-4.272
0.144,0.678,0.532,-93.811,78.247,-0.916
0.106,0.624,0.545,-102.051,70.862,6.958
0.069,0.559,0.555,-112.549,65.247,18.066
0.031,0.483,0.526,-121.460,59.875,30.396
-0.013,0.431,0.480,-128.113,54.260,44.678
-0.061,0.380,0.440,-132.874,48.462,59.143
-0.100,0.332,0.401,-135.620,41.626,71.167
-0.158,0.303,0.363,-135.681,31.799,79.102
-0.208,0.271,0.352,-132.263,18.799,83.069
-0.212,0.263,0.473,-126.892,6.348,84.229
-0.196,0.276,0.566,-119.568,1.648,82.153
-0.218,0.241,0.554,-108.887,0.427,74.097
-0.241,0.192,0.462,-102.295,-4.395,65.063
-0.256,0.141,0.385,-105.103,-11.780,59.021
-0.267,0.085,0.336,-115.051,-19.287,57.068
-0.264,0.018,0.313,-126.160,-27.222,56.519
-0.262,-0.038,0.300,-132.324,-36.011,56.030
-0.269,-0.087,0.269,-128.174,-45.410,54.138
-0.301,-0.133,0.211,-115.051,-55.176,48.889
-0.324,-0.168,0.141,-99.731,-64.819,41.443
-0.342,-0.200,0.078,-88.684,-73.730,33.020
-0.347,-0.221,0.025,-83.862,-81.604,25.696
-0.363,-0.253,0.038,-84.045,-89.172,21.301
-0.349,-0.288,0.044,-87.341,-93.445,18.494
-0.344,-0.312,0.023,-93.506,-94.788,16.113
